ID,Usia,Pendapatan,Gender,Status_Pekerjaan,Pendidikan,Jml_Keluarga,Transaksi_BulanIni,Status_Kesehatan,Tingkat_Konsumsi
2127,59,61071989.0832508,P,Wiraswasta,S1,3,15,Sehat,Sedang
2128,61,77127019.95214128,P,Pelajar,SMA,1,17,Sakit Berat,Sedang
2129,66,193295962.53637868,P,Pelajar,SMA,4,13,Sakit Ringan,Rendah
2130,57,82652666.75500523,P,Wiraswasta,S3,2,5,Sakit Ringan,Sedang
2131,28,82370159.7258341,L,Pegawai Negeri,SMA,2,19,Sehat,Tinggi
2132,20,127222514.44816075,L,Pegawai Negeri,SMA,4,20,Sakit Berat,Sedang
2133,23,194775559.37481084,L,Pegawai Negeri,D3,3,14,Sehat,Rendah
2134,26,196954480.27154008,P,Pelajar,S1,6,4,Sakit Ringan,Tinggi
2135,23,124338433.46173689,P,Pelajar,SMA,5,16,Sakit Ringan,Tinggi
2136,26,20195663.564887855,P,Wiraswasta,S2,4,0,Sehat,Sedang
2137,56,182118179.13831195,P,Wiraswasta,D3,3,12,Sehat,Rendah
2138,48,122642833.62386866,L,Pekerja Swasta,S1,1,6,Sakit Ringan,Tinggi
2139,49,85879353.49218845,L,Pekerja Swasta,D3,4,18,Sakit Berat,Rendah
2140,58,169255125.3828689,P,Pekerja Swasta,S2,3,20,Sakit Ringan,Rendah
2141,67,91969842.68303691,L,Wiraswasta,S1,2,4,Sehat,Tinggi
2142,29,26128011.11604764,L,Pegawai Negeri,S3,5,8,Sakit Berat,Tinggi
2143,25,167793000.15026337,L,Pekerja Swasta,S3,5,3,Sehat,Rendah
2144,25,118254692.18355721,L,Wiraswasta,D3,5,6,Sehat,Sedang
2145,67,80865836.88035531,P,Pelajar,S3,3,12,Sakit Berat,Tinggi
2146,45,65160627.74369322,L,Pegawai Negeri,S1,3,7,Sakit Ringan,Sedang
2147,37,126883542.69477661,L,Pekerja Swasta,S2,1,3,Sehat,Tinggi
2148,64,57448918.68051802,L,Pelajar,S2,5,7,Sehat,Sedang
2149,24,78293159.58026057,L,Pegawai Negeri,S3,2,15,Sakit Ringan,Tinggi
2150,28,134575455.69451705,P,Pegawai Negeri,SMA,6,12,Sakit Ringan,Sedang
2151,37,178678001.07306775,L,Pelajar,SMA,5,9,Sakit Berat,Rendah
2152,33,115920259.11048777,L,Pekerja Swasta,SMA,4,13,Sakit Ringan,Tinggi
2153,21,156639151.69383666,P,Pekerja Swasta,S3,4,19,Sakit Ringan,Sedang
2154,23,157350908.67734754,P,Pelajar,S3,2,9,Sehat,Rendah
2155,39,139583711.4786896,P,Pelajar,S3,3,12,Sehat,Sedang
2156,43,64250900.78249318,P,Pelajar,S1,6,7,Sakit Ringan,Tinggi
2157,20,176021947.66704354,P,Wiraswasta,SMA,5,19,Sakit Berat,Rendah
2158,58,98529618.01512197,P,Pegawai Negeri,D3,6,4,Sakit Berat,Rendah
2159,59,27957933.908426102,L,Pekerja Swasta,S1,4,20,Sehat,Tinggi
2160,31,64030280.612514526,L,Pekerja Swasta,S1,2,20,Sakit Berat,Sedang
2161,28,157798703.73787683,P,Pelajar,S3,1,18,Sakit Berat,Tinggi
2162,35,32444000.447148085,L,Pegawai Negeri,S3,4,12,Sehat,Sedang
2163,29,46525592.38788402,L,Pelajar,S1,4,1,Sakit Ringan,Tinggi
2164,40,144960826.88750678,L,Pegawai Negeri,S3,5,15,Sakit Ringan,Tinggi
2165,29,180668142.1509573,L,Pelajar,SMA,3,13,Sehat,Tinggi
2166,30,134071760.91037463,L,Pelajar,S1,4,16,Sehat,Sedang
2167,42,60012389.68931983,P,Pegawai Negeri,S1,4,2,Sehat,Sedang
2168,62,29614477.38491875,L,Pekerja Swasta,S1,5,15,Sakit Ringan,Sedang
2169,68,130722784.85905612,L,Pekerja Swasta,S3,3,8,Sakit Berat,Rendah
2170,36,28531744.027609516,P,Wiraswasta,S1,6,6,Sakit Ringan,Rendah
2171,63,130289969.34951626,L,Pegawai Negeri,D3,1,1,Sakit Ringan,Sedang
2172,53,60604389.94899711,L,Pekerja Swasta,D3,6,10,Sehat,Sedang
2173,62,182838091.23358935,L,Pekerja Swasta,SMA,1,10,Sakit Berat,Rendah
2174,25,105516680.32772514,L,Pegawai Negeri,S1,1,13,Sakit Ringan,Tinggi
2175,46,60308917.99574522,L,Pekerja Swasta,S1,1,15,Sakit Berat,Tinggi
2176,70,173566156.98054647,L,Pegawai Negeri,S3,3,7,Sakit Berat,Sedang
2177,49,65726371.7205515,P,Pekerja Swasta,S2,1,14,Sehat,Tinggi
2178,68,75187833.7744776,L,Pelajar,S2,5,15,Sakit Berat,Sedang
2179,61,170170021.829982,P,Pegawai Negeri,S1,5,1,Sakit Ringan,Rendah
2180,35,75582565.36410728,P,Pegawai Negeri,SMA,5,3,Sakit Berat,Sedang
2181,23,93829478.46151473,L,Pekerja Swasta,D3,1,0,Sehat,Rendah
2182,35,82579820.73659599,L,Pegawai Negeri,S1,5,6,Sakit Ringan,Tinggi
2183,36,40952057.20946765,L,Wiraswasta,S1,5,10,Sakit Berat,Sedang
2184,39,27001246.204428706,P,Wiraswasta,SMA,2,17,Sakit Ringan,Sedang
2185,54,150417321.33097664,P,Pegawai Negeri,SMA,1,4,Sakit Ringan,Sedang
2186,49,136124682.30842972,P,Wiraswasta,S2,5,4,Sehat,Rendah
2187,58,70825892.15937029,L,Pekerja Swasta,S1,6,19,Sakit Ringan,Tinggi
2188,20,73207842.49727812,P,Pekerja Swasta,S1,3,16,Sehat,Sedang
2189,45,190101040.94156265,L,Pegawai Negeri,S3,5,3,Sehat,Tinggi
2190,27,197780802.9020286,L,Pekerja Swasta,D3,2,8,Sakit Berat,Rendah
2191,68,105218282.58206484,P,Pekerja Swasta,S3,3,13,Sehat,Tinggi
2192,52,164441314.18666887,P,Wiraswasta,S3,3,8,Sakit Berat,Sedang
2193,46,152603457.65648577,L,Pekerja Swasta,D3,6,12,Sakit Ringan,Sedang
2194,32,73517187.71216846,P,Pekerja Swasta,S1,6,15,Sakit Ringan,Rendah
2195,50,30541287.8936861,P,Wiraswasta,S2,6,19,Sehat,Tinggi
2196,24,45660126.2842892,L,Pelajar,D3,4,12,Sakit Berat,Sedang
2197,29,170892941.06013742,P,Pegawai Negeri,SMA,2,8,Sakit Ringan,Rendah
2198,66,151618487.5993306,P,Pegawai Negeri,S1,2,20,Sakit Berat,Tinggi
2199,47,139580272.00321,L,Pelajar,D3,5,11,Sakit Ringan,Sedang
2200,38,43516789.7053967,L,Wiraswasta,D3,2,11,Sakit Berat,Rendah
2201,48,135187523.74109447,P,Wiraswasta,D3,3,9,Sehat,Rendah
2202,41,158987419.66876078,P,Pekerja Swasta,S2,3,1,Sakit Ringan,Rendah
2203,37,174908314.9748523,P,Pekerja Swasta,S3,5,4,Sehat,Rendah
2204,54,22381630.254851278,L,Pegawai Negeri,S3,3,10,Sehat,Rendah
2205,21,143205518.338126,P,Pegawai Negeri,D3,5,1,Sakit Berat,Tinggi
2206,45,23437578.008576795,L,Wiraswasta,D3,6,20,Sehat,Sedang
2207,61,147237112.19781893,L,Pekerja Swasta,S3,4,9,Sehat,Tinggi
2208,37,134411845.65176088,L,Wiraswasta,S2,2,7,Sehat,Rendah
2209,41,46702615.32541505,L,Pelajar,S1,2,19,Sehat,Sedang
2210,67,157901915.24212345,P,Pegawai Negeri,S3,2,9,Sakit Berat,Rendah
2211,66,32302571.274144407,P,Pegawai Negeri,D3,4,10,Sakit Berat,Rendah
2212,68,168751779.27403402,P,Wiraswasta,S2,2,8,Sehat,Sedang
2213,49,67147264.07268122,P,Pekerja Swasta,S2,6,6,Sakit Ringan,Tinggi
2214,58,143993335.2141197,P,Pekerja Swasta,D3,4,11,Sehat,Sedang
2215,53,186264081.38393664,L,Pelajar,SMA,4,6,Sehat,Tinggi
2216,70,81168864.44122082,L,Pelajar,S2,5,15,Sakit Ringan,Rendah
2217,51,110520934.02927545,P,Pelajar,S3,6,18,Sakit Ringan,Rendah
2218,53,103361246.11108106,P,Wiraswasta,SMA,1,15,Sehat,Tinggi
2219,19,48370042.83131626,P,Pegawai Negeri,S1,1,14,Sakit Berat,Rendah
2220,32,126256161.88833709,P,Wiraswasta,S3,5,13,Sakit Berat,Tinggi
2221,51,153740345.33377063,L,Wiraswasta,D3,5,12,Sakit Ringan,Tinggi
2222,53,185037469.20628747,P,Pekerja Swasta,SMA,5,2,Sehat,Sedang
2223,23,173144468.2969123,L,Pelajar,S3,2,12,Sehat,Rendah
2224,56,111803488.3510457,L,Pegawai Negeri,S2,3,6,Sehat,Sedang
2225,59,149423087.81214827,P,Pelajar,D3,5,1,Sehat,Sedang
2226,68,164141014.4073007,L,Pelajar,SMA,4,9,Sehat,Rendah
2227,68,108827968.47290279,P,Pelajar,S2,1,14,Sakit Ringan,Sedang
2228,29,40776960.9267682,L,Pegawai Negeri,D3,2,2,Sakit Berat,Rendah
2229,20,98827537.49252675,L,Pekerja Swasta,D3,6,5,Sakit Ringan,Rendah
2230,62,171646046.87628168,L,Pegawai Negeri,SMA,3,13,Sakit Ringan,Sedang
2231,35,127395452.9708723,L,Pegawai Negeri,SMA,1,3,Sehat,Rendah
2232,57,150402507.86168104,L,Pekerja Swasta,SMA,1,14,Sakit Ringan,Rendah
2233,38,53348243.987465754,P,Pegawai Negeri,S3,1,4,Sehat,Rendah
2234,32,193580798.277981,L,Pegawai Negeri,D3,4,5,Sakit Ringan,Rendah
2235,50,92734495.30879569,P,Wiraswasta,S1,4,18,Sehat,Sedang
2236,52,137654394.0891912,P,Pegawai Negeri,S2,4,17,Sakit Berat,Tinggi
2237,43,23397005.826308947,L,Wiraswasta,SMA,3,19,Sehat,Sedang
2238,25,42917467.205952436,P,Wiraswasta,D3,1,5,Sehat,Tinggi
2239,53,160766168.5792854,L,Wiraswasta,S2,5,3,Sakit Berat,Tinggi
2240,65,194234500.19364583,P,Pelajar,S1,3,11,Sehat,Tinggi
2241,47,77609963.90998608,P,Pekerja Swasta,S2,4,13,Sehat,Rendah
2242,40,26692532.28942767,L,Pelajar,S1,4,6,Sakit Berat,Tinggi
2243,59,84955988.35642475,P,Pekerja Swasta,SMA,4,1,Sehat,Rendah
2244,61,23144263.450220473,P,Pegawai Negeri,S3,6,1,Sakit Ringan,Rendah
2245,31,54627156.60724444,P,Wiraswasta,S1,2,20,Sehat,Rendah
2246,31,155444962.7096729,L,Pelajar,SMA,6,19,Sakit Ringan,Sedang
2247,19,188675911.65916932,P,Pegawai Negeri,S2,1,3,Sakit Berat,Tinggi
2248,54,35740835.186399594,P,Pelajar,S2,5,19,Sakit Ringan,Sedang
2249,22,120422140.18589167,L,Pegawai Negeri,S2,1,2,Sakit Berat,Rendah
2250,55,65698552.30232575,P,Pelajar,S3,3,1,Sehat,Sedang
2251,62,45030642.64290732,L,Pegawai Negeri,D3,2,20,Sehat,Rendah
2252,58,59416441.38048036,P,Pegawai Negeri,S1,3,5,Sakit Berat,Sedang
2253,64,123997352.14958735,P,Pelajar,D3,4,13,Sakit Ringan,Rendah
2254,31,31724210.25991299,P,Pegawai Negeri,S2,4,7,Sakit Ringan,Rendah
2255,56,98159347.31031515,L,Wiraswasta,S3,5,10,Sakit Ringan,Sedang
2256,42,44341013.17192949,P,Wiraswasta,SMA,1,18,Sakit Ringan,Rendah
2257,37,69081869.43100667,L,Wiraswasta,S3,3,14,Sehat,Tinggi
2258,19,54335779.353787504,L,Wiraswasta,D3,6,19,Sakit Ringan,Sedang
2259,56,178935589.9695615,P,Pekerja Swasta,S2,4,19,Sakit Berat,Sedang
2260,23,147442039.55683213,P,Pelajar,S1,5,19,Sakit Ringan,Rendah
2261,34,176323264.21054468,L,Wiraswasta,S3,5,19,Sakit Berat,Sedang
2262,42,89023310.21858464,P,Wiraswasta,D3,3,13,Sakit Berat,Tinggi
2263,45,76414405.67366062,P,Wiraswasta,D3,1,3,Sehat,Sedang
2264,19,88505695.08159807,P,Pekerja Swasta,SMA,2,9,Sakit Berat,Tinggi
2265,52,23338675.230393343,P,Pelajar,S1,5,7,Sakit Ringan,Sedang
2266,54,150446769.5267405,L,Pegawai Negeri,D3,3,4,Sakit Ringan,Tinggi
2267,22,82959042.2411141,P,Pekerja Swasta,S1,4,17,Sehat,Sedang
2268,18,76398284.6438225,L,Wiraswasta,S2,2,16,Sakit Ringan,Tinggi
2269,57,127665391.76669592,L,Wiraswasta,S3,2,4,Sakit Berat,Rendah
2270,29,98524984.10776696,L,Pekerja Swasta,D3,1,2,Sakit Ringan,Sedang
2271,53,196551806.28030172,L,Pelajar,S2,3,9,Sakit Berat,Sedang
2272,62,84125547.72178423,L,Pelajar,SMA,1,20,Sakit Ringan,Tinggi
2273,40,130501251.5974244,L,Pegawai Negeri,S1,5,3,Sakit Ringan,Sedang
2274,64,76097198.1097373,L,Pekerja Swasta,S2,5,18,Sakit Ringan,Tinggi
2275,48,198307096.43791822,P,Pelajar,S1,6,4,Sakit Berat,Rendah
2276,28,100119986.24962306,P,Pekerja Swasta,S1,3,0,Sakit Berat,Tinggi
2277,27,134143185.95602453,L,Pelajar,D3,4,3,Sehat,Sedang
2278,20,42809900.77148187,P,Pelajar,S1,6,0,Sakit Berat,Rendah
2279,31,151944358.67545846,P,Wiraswasta,S2,6,14,Sakit Berat,Tinggi
2280,33,68457810.41761196,P,Pelajar,SMA,5,2,Sakit Ringan,Tinggi
2281,27,100750385.50934094,P,Pelajar,D3,5,9,Sakit Ringan,Rendah
2282,46,178963951.21894243,L,Pekerja Swasta,S3,4,4,Sehat,Sedang
2283,27,194699452.67931825,P,Pelajar,SMA,6,10,Sehat,Sedang
2284,29,96422978.33126426,L,Pelajar,S2,2,16,Sehat,Sedang
2285,47,170264480.23180997,P,Pekerja Swasta,D3,3,8,Sakit Ringan,Rendah
2286,58,29602819.018974937,P,Pelajar,S1,2,12,Sehat,Tinggi
2287,18,172563325.36224726,L,Pekerja Swasta,SMA,1,13,Sakit Ringan,Rendah
2288,22,133311857.98747694,L,Pekerja Swasta,D3,4,8,Sakit Ringan,Tinggi
2289,37,107967110.31048836,L,Pekerja Swasta,S3,3,16,Sehat,Rendah
2290,25,180193466.9247046,P,Pekerja Swasta,S3,4,6,Sakit Berat,Tinggi
2291,60,172160700.0511545,P,Wiraswasta,S3,4,15,Sehat,Tinggi
2292,29,73450117.27164295,P,Wiraswasta,D3,2,19,Sehat,Rendah
2293,18,162467908.82205635,L,Wiraswasta,SMA,2,12,Sakit Ringan,Rendah
2294,37,37908368.059227064,L,Wiraswasta,S1,1,13,Sakit Ringan,Rendah
2295,45,168097508.38412663,L,Pekerja Swasta,SMA,3,17,Sakit Berat,Tinggi
2296,60,141582011.2441851,L,Pekerja Swasta,S1,4,10,Sakit Ringan,Rendah
2297,54,35815939.567749694,L,Pekerja Swasta,SMA,6,1,Sakit Berat,Tinggi
2298,64,142954431.22534436,P,Pekerja Swasta,SMA,1,5,Sakit Berat,Tinggi
2299,54,124493469.80174662,L,Wiraswasta,D3,4,4,Sakit Berat,Rendah
2300,29,127019018.20610806,L,Pelajar,S3,1,2,Sakit Berat,Sedang
2301,54,72355508.32334574,P,Wiraswasta,S3,4,6,Sehat,Sedang
2302,66,67969496.00231215,L,Pekerja Swasta,S3,2,2,Sehat,Tinggi
2303,66,157256320.1697236,L,Pekerja Swasta,S3,5,12,Sehat,Tinggi
2304,61,66226426.58310304,L,Pelajar,SMA,1,1,Sehat,Sedang
2305,45,100327205.32578176,L,Pekerja Swasta,S3,1,1,Sakit Ringan,Tinggi
2306,64,145062019.74778125,P,Pelajar,SMA,5,17,Sakit Berat,Sedang
2307,32,34330925.2389388,L,Pekerja Swasta,S1,2,3,Sakit Ringan,Tinggi
2308,23,127018708.8700983,P,Pelajar,S2,1,16,Sehat,Tinggi
2309,61,126087747.07666111,L,Pegawai Negeri,S2,2,10,Sakit Berat,Rendah
2310,37,143161167.9598446,P,Pegawai Negeri,S1,6,6,Sakit Berat,Sedang
2311,67,86587057.15501855,P,Pegawai Negeri,SMA,4,1,Sakit Ringan,Tinggi
2312,31,100816359.33149114,L,Pegawai Negeri,S3,6,14,Sehat,Sedang
2313,19,79394476.51004486,P,Pekerja Swasta,D3,4,13,Sakit Ringan,Rendah
2314,26,165470284.49397963,P,Pekerja Swasta,SMA,5,13,Sakit Berat,Sedang
2315,54,43509936.80650385,P,Pekerja Swasta,SMA,3,5,Sehat,Tinggi
2316,37,193331711.64355937,L,Pegawai Negeri,S1,2,4,Sehat,Sedang
2317,43,134270508.07625914,P,Pelajar,S1,3,13,Sakit Ringan,Rendah
2318,46,179643210.39059165,P,Pelajar,D3,3,20,Sakit Ringan,Sedang
2319,18,96721662.48765756,P,Pegawai Negeri,S3,2,3,Sakit Ringan,Sedang
2320,52,79810232.6705594,L,Pekerja Swasta,S2,3,13,Sehat,Sedang
2321,23,182130645.82231703,L,Pegawai Negeri,S3,1,4,Sakit Berat,Sedang
2322,54,37797145.197734505,P,Wiraswasta,S3,4,11,Sehat,Tinggi
2323,70,41079301.67095,P,Pelajar,SMA,6,12,Sehat,Sedang
2324,22,73882419.76724193,L,Pegawai Negeri,D3,5,11,Sehat,Rendah
2325,50,192759496.71793732,P,Pegawai Negeri,SMA,2,16,Sehat,Sedang
2326,66,133952349.77571927,L,Pegawai Negeri,S1,5,17,Sakit Ringan,Rendah
2327,68,119754865.39077167,P,Pegawai Negeri,S2,6,11,Sakit Ringan,Rendah
2328,31,146964140.5439757,P,Pekerja Swasta,D3,4,8,Sakit Berat,Rendah
2329,29,95145420.09406991,L,Pelajar,D3,5,18,Sehat,Rendah
2330,59,156453230.25574386,L,Wiraswasta,S3,2,20,Sehat,Tinggi
2331,37,90781525.63511796,P,Pekerja Swasta,SMA,5,14,Sakit Berat,Sedang
2332,70,168745373.2741636,L,Pegawai Negeri,S3,3,8,Sehat,Sedang
2333,67,68113114.77377081,P,Pegawai Negeri,S3,3,12,Sehat,Tinggi
2334,41,69958398.67364436,P,Pegawai Negeri,D3,4,14,Sakit Berat,Sedang
2335,60,114028994.97681233,L,Pegawai Negeri,S2,3,11,Sakit Berat,Tinggi
2336,51,97537008.50511232,P,Pelajar,S1,5,9,Sakit Berat,Rendah
2337,42,136660851.97124517,P,Pegawai Negeri,S3,1,2,Sakit Berat,Sedang
2338,67,85572335.84124422,L,Wiraswasta,S2,5,9,Sehat,Rendah
2339,46,61499116.832666025,P,Pekerja Swasta,S3,1,17,Sakit Berat,Sedang
2340,56,104565541.31892219,P,Pelajar,S2,5,9,Sakit Berat,Sedang
2341,48,120972169.90948632,P,Pegawai Negeri,SMA,1,3,Sakit Ringan,Sedang
2342,64,45668009.68934428,P,Wiraswasta,S1,1,2,Sakit Ringan,Rendah
2343,60,120209352.63196976,L,Pekerja Swasta,D3,2,19,Sakit Berat,Tinggi
2344,67,77466206.94462143,P,Pekerja Swasta,SMA,2,17,Sakit Berat,Rendah
2345,40,90641339.27633142,P,Pelajar,S3,6,16,Sakit Ringan,Tinggi
2346,61,70277263.23139063,P,Pekerja Swasta,S3,5,4,Sakit Berat,Sedang
2347,55,187653859.00275078,P,Pegawai Negeri,S1,3,19,Sakit Ringan,Sedang
2348,37,143000530.6304385,L,Pegawai Negeri,S1,2,9,Sakit Ringan,Sedang
2349,40,67242856.05212301,L,Wiraswasta,S1,1,1,Sakit Ringan,Sedang
2350,62,136105640.21935102,L,Wiraswasta,S3,5,20,Sehat,Rendah
2351,69,172743033.7247683,P,Pekerja Swasta,S3,3,0,Sakit Ringan,Tinggi
2352,33,92293437.49989836,P,Pelajar,D3,5,15,Sakit Berat,Tinggi
2353,67,169392351.6481128,L,Pegawai Negeri,S1,1,9,Sakit Berat,Tinggi
2354,59,47794689.981198624,L,Pekerja Swasta,S2,2,2,Sakit Ringan,Sedang
2355,25,168100645.67591023,P,Pelajar,D3,2,3,Sehat,Rendah
2356,67,117252963.68102595,L,Pekerja Swasta,S2,4,0,Sakit Berat,Sedang
2357,38,60135407.84179678,P,Pelajar,SMA,4,11,Sakit Ringan,Tinggi
2358,18,93285449.22006406,P,Wiraswasta,S1,6,12,Sakit Berat,Rendah
2359,25,197838738.64039102,P,Pegawai Negeri,D3,6,7,Sakit Ringan,Rendah
2360,46,161040082.9956367,P,Wiraswasta,D3,6,18,Sakit Berat,Sedang
2361,49,123515545.04932074,P,Pegawai Negeri,SMA,5,4,Sehat,Rendah
2362,55,40729504.14281461,P,Pelajar,SMA,5,11,Sehat,Rendah
2363,22,95206084.92227004,P,Pelajar,SMA,3,18,Sehat,Rendah
2364,64,67349272.5221487,P,Pekerja Swasta,D3,6,3,Sehat,Sedang
2365,39,32780194.310970247,L,Pelajar,S3,2,14,Sakit Berat,Sedang
2366,64,117596789.9694767,L,Pelajar,S2,6,12,Sakit Berat,Rendah
2367,51,180053425.9713577,L,Pekerja Swasta,S2,2,12,Sehat,Sedang
2368,18,141607976.27134252,L,Pekerja Swasta,SMA,6,2,Sakit Berat,Rendah
2369,43,64942469.83649201,P,Pegawai Negeri,S3,4,7,Sakit Ringan,Tinggi
2370,60,123245229.25168204,L,Pelajar,S3,1,5,Sehat,Tinggi
2371,27,189782171.0024544,L,Pekerja Swasta,SMA,1,16,Sakit Berat,Rendah
2372,47,150124709.52612835,P,Pegawai Negeri,S1,6,10,Sakit Ringan,Tinggi
2373,67,144105301.8932175,L,Pegawai Negeri,D3,4,6,Sakit Ringan,Tinggi
2374,35,194268469.92095292,L,Wiraswasta,S1,5,14,Sakit Berat,Tinggi
2375,34,163797196.01312447,L,Pekerja Swasta,S3,6,3,Sehat,Rendah
2376,43,44592237.75777538,L,Wiraswasta,SMA,6,7,Sakit Ringan,Sedang
2377,25,82574315.65571624,P,Pegawai Negeri,D3,2,1,Sehat,Rendah
2378,64,193725326.1327835,L,Pelajar,S2,2,10,Sakit Berat,Rendah
2379,57,108146970.95563962,L,Pekerja Swasta,S3,6,7,Sakit Berat,Sedang
2380,66,40094740.15781336,L,Pekerja Swasta,D3,2,18,Sakit Berat,Rendah
2381,29,102548878.34102154,L,Pegawai Negeri,D3,1,4,Sehat,Rendah
2382,44,145458782.13274413,P,Pekerja Swasta,S1,5,17,Sehat,Rendah
2383,25,199558679.90262341,P,Pegawai Negeri,S2,6,5,Sakit Ringan,Tinggi
2384,42,78302956.98137634,L,Pekerja Swasta,S1,1,18,Sakit Ringan,Rendah
2385,63,112535637.47826928,P,Pekerja Swasta,S1,5,19,Sehat,Rendah
2386,21,178342526.8369629,P,Pelajar,S1,4,4,Sakit Berat,Sedang
2387,50,83948099.25032003,P,Pegawai Negeri,S1,5,12,Sehat,Tinggi
2388,18,39667080.1863543,P,Wiraswasta,S3,1,11,Sakit Ringan,Tinggi
2389,36,190808457.50027072,L,Pelajar,S2,2,8,Sakit Berat,Rendah
2390,48,107919345.20843002,P,Pegawai Negeri,S1,1,4,Sakit Ringan,Tinggi
2391,33,110501067.9389549,L,Pekerja Swasta,S3,4,16,Sakit Berat,Tinggi
2392,31,131816026.02875279,L,Pegawai Negeri,S3,2,17,Sehat,Sedang
2393,70,20636592.26658043,L,Pegawai Negeri,D3,1,2,Sakit Ringan,Sedang
2394,65,187603611.60239285,L,Pelajar,D3,2,18,Sakit Berat,Tinggi
2395,22,85061195.2594175,L,Pegawai Negeri,SMA,4,14,Sakit Ringan,Sedang
2396,58,91447735.22918275,L,Pekerja Swasta,S3,5,16,Sehat,Rendah
2397,43,51339664.55598229,L,Wiraswasta,SMA,5,8,Sakit Ringan,Sedang
2398,45,88067290.39264299,L,Wiraswasta,S3,3,3,Sakit Ringan,Rendah
2399,19,164709835.53968936,L,Pekerja Swasta,S1,2,8,Sakit Berat,Sedang
2400,67,163998501.05999628,L,Wiraswasta,S1,6,3,Sakit Berat,Tinggi
2401,23,188443431.3611815,P,Pelajar,SMA,4,2,Sehat,Rendah
2402,26,92581305.08254324,P,Pegawai Negeri,S1,1,8,Sakit Berat,Sedang
2403,50,147569870.6747452,P,Pegawai Negeri,S1,6,10,Sakit Berat,Sedang
2404,58,111302759.93736027,L,Wiraswasta,D3,1,10,Sakit Ringan,Rendah
2405,42,164724102.11344358,L,Wiraswasta,S1,3,19,Sehat,Sedang
2406,65,148257561.64393944,L,Wiraswasta,D3,1,7,Sehat,Tinggi
2407,30,86222526.55152962,L,Pelajar,S2,4,1,Sakit Berat,Rendah
2408,26,80601290.16566464,L,Pegawai Negeri,S3,4,15,Sakit Ringan,Tinggi
2409,70,65439643.34503417,P,Pegawai Negeri,D3,5,1,Sehat,Rendah
2410,30,123772842.28795479,P,Pekerja Swasta,D3,2,20,Sehat,Rendah
2411,48,193491713.2868947,L,Pekerja Swasta,D3,2,20,Sakit Ringan,Rendah
2412,58,56012012.77116188,L,Pelajar,S3,1,19,Sakit Berat,Rendah
2413,28,37145441.88277854,P,Pegawai Negeri,S3,2,4,Sakit Berat,Tinggi
2414,21,41492115.57373645,P,Pegawai Negeri,S3,3,8,Sakit Berat,Tinggi
2415,51,160957761.725027,P,Pekerja Swasta,S1,2,1,Sakit Ringan,Rendah
2416,55,83018864.77122146,L,Pekerja Swasta,D3,6,8,Sakit Ringan,Rendah
2417,63,60386028.98462835,L,Pegawai Negeri,S3,1,10,Sehat,Tinggi
2418,21,83511941.30723001,L,Pelajar,S2,2,7,Sakit Ringan,Rendah
2419,55,136159546.30931392,L,Wiraswasta,S3,6,6,Sakit Berat,Rendah
2420,36,118421682.46909107,P,Pelajar,SMA,4,5,Sehat,Tinggi
2421,23,153846093.17382067,P,Pegawai Negeri,SMA,4,19,Sakit Ringan,Tinggi
2422,51,81033346.72671974,L,Wiraswasta,D3,5,14,Sakit Ringan,Tinggi
2423,35,101365143.22364338,P,Pelajar,D3,5,14,Sehat,Sedang
2424,30,38354306.41332623,L,Pelajar,D3,5,6,Sakit Berat,Rendah
2425,58,33150556.28590066,P,Pegawai Negeri,S1,5,7,Sakit Berat,Tinggi
2426,40,103205943.71193808,L,Pekerja Swasta,SMA,2,16,Sakit Ringan,Rendah
2427,36,74287389.34026623,P,Pelajar,SMA,6,18,Sehat,Sedang
2428,62,130304102.98450355,P,Pelajar,D3,1,1,Sakit Ringan,Tinggi
2429,28,27740389.780022945,P,Pekerja Swasta,SMA,2,8,Sehat,Tinggi
2430,18,41917947.96792178,L,Pelajar,SMA,1,1,Sakit Ringan,Rendah
2431,41,175734345.99915114,P,Pelajar,S1,1,12,Sakit Berat,Rendah
2432,24,121936091.87343882,L,Pekerja Swasta,S2,1,11,Sehat,Tinggi
2433,42,148169816.06442088,L,Pegawai Negeri,D3,1,3,Sakit Berat,Tinggi
2434,38,171554981.36731324,P,Pegawai Negeri,S2,4,18,Sakit Berat,Rendah
2435,32,103490181.7310094,L,Pegawai Negeri,S2,6,7,Sehat,Rendah
2436,18,156990869.1141457,L,Wiraswasta,S1,1,12,Sehat,Tinggi
2437,29,114425404.23323438,L,Pegawai Negeri,SMA,2,13,Sakit Ringan,Sedang
2438,24,60094778.6492667,L,Wiraswasta,D3,1,6,Sehat,Rendah
2439,32,80778110.3841691,P,Wiraswasta,S3,4,0,Sakit Ringan,Rendah
2440,38,108263079.39001895,L,Wiraswasta,S2,2,10,Sehat,Rendah
2441,36,77039399.39100873,P,Pekerja Swasta,S2,6,16,Sakit Berat,Tinggi
2442,46,80394984.4429817,L,Wiraswasta,S1,3,16,Sehat,Tinggi
2443,42,80730709.62477794,L,Wiraswasta,S2,2,14,Sehat,Tinggi
2444,50,42111196.194278754,L,Pekerja Swasta,S2,4,20,Sakit Ringan,Rendah
2445,66,35235669.29820524,L,Pelajar,S2,6,9,Sakit Ringan,Rendah
2446,49,28369287.14443478,L,Pelajar,S1,4,15,Sakit Berat,Sedang
2447,66,39972126.98618062,L,Wiraswasta,SMA,5,4,Sehat,Tinggi
